ID,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Stability_Test,Turbidity_NTU,Turbidity_Error,Viscosity,Rheology_Type
716,0.00,0.00,0.00,0.00,0.00,0.00,12.35,0.00,0.00,12.19,0.00,0.00,0.00,0.00,0.00,1.30,0.00,2.04,TRUE,16,0,VERY-LOW,NEWTONIAN
717,0.00,0.00,0.00,0.00,0.00,7.54,0.00,0.00,0.00,9.15,0.00,0.00,0.00,0.00,0.00,1.96,0.00,1.80,FALSE,NA,NA,NA,NA
718,0.00,0.00,8.43,0.00,0.00,0.00,0.00,0.00,9.44,0.00,0.00,0.00,0.00,0.00,0.00,3.23,0.00,2.01,FALSE,NA,NA,NA,NA
719,8.83,13.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,1.53,TRUE,23,0,VERY-LOW,NEWTONIAN
720,16.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.52,0.00,0.00,0.00,0.00,0.00,0.00,2.69,0.00,1.72,TRUE,29,4,MEDIUM,SHEAR-THIN
721,0.00,0.00,12.19,0.00,0.00,8.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,1.63,TRUE,15,1,VERY-LOW,NEWTONIAN
722,0.00,7.70,9.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.71,0.00,2.59,TRUE,14,0,LOW,NEWTONIAN
723,0.00,0.00,12.71,0.00,0.00,8.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00,3.12,FALSE,NA,NA,NA,NA
724,12.33,0.00,8.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.84,0.00,2.45,FALSE,NA,NA,NA,NA
725,0.00,13.29,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,2.58,TRUE,16,1,VERY-LOW,NEWTONIAN
726,0.00,9.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.86,0.00,0.00,0.00,0.00,2.78,0.00,1.56,FALSE,NA,NA,NA,NA
727,0.00,0.00,0.00,0.00,0.00,0.00,9.10,0.00,0.00,10.71,0.00,0.00,0.00,0.00,0.00,2.47,0.00,2.48,TRUE,15,0,LOW,NEWTONIAN
728,10.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.16,0.00,0.00,0.00,0.00,0.00,1.24,0.00,1.61,TRUE,25,3,VERY-LOW,NEWTONIAN
729,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.26,11.61,0.00,0.00,0.00,0.00,1.76,0.00,2.04,FALSE,NA,NA,NA,NA
730,0.00,0.00,0.00,8.13,0.00,0.00,0.00,0.00,0.00,12.80,0.00,0.00,0.00,0.00,0.00,1.98,0.00,1.82,TRUE,20,0,VERY-LOW,NEWTONIAN
731,0.00,10.22,0.00,0.00,0.00,0.00,0.00,10.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.85,0.00,1.43,TRUE,23,1,VERY-LOW,NEWTONIAN
732,0.00,10.75,0.00,0.00,0.00,9.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,0.00,2.21,TRUE,19,1,VERY-LOW,NEWTONIAN
733,0.00,11.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.83,0.00,0.00,0.00,0.00,0.00,0.74,0.00,2.62,TRUE,16,2,VERY-LOW,NEWTONIAN
734,0.00,0.00,11.18,0.00,7.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.00,3.33,TRUE,14,0,LOW,NEWTONIAN
735,5.92,0.00,0.00,0.00,0.00,0.00,13.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,3.39,FALSE,NA,NA,NA,NA
736,0.00,0.00,0.00,0.00,0.00,9.28,0.00,0.00,0.00,11.71,0.00,0.00,0.00,0.00,0.00,2.84,0.00,3.44,TRUE,23,7,MEDIUM,SHEAR-THIN
